11,剧情 动作 犯罪,法国,这个杀手不太冷,https://movie.douban.com/subject/1295644/,1994-09-14,1622425,9.4,让·雷诺、娜塔莉·波特曼、加里·奥德曼、丹尼·爱罗、彼得·阿佩尔、迈克尔·巴达鲁科、艾伦·格里尼、伊丽莎白·瑞根、卡尔·马图斯维奇、弗兰克·赛格、麦温、乔治·马丁、罗伯特·拉萨多、亚当·布斯奇、马里奥·托迪斯科、萨米·纳塞利、让·雨果·安格拉德、埃莱娜·卡多纳、大塚明夫、沈晓谦
12,剧情 爱情 灾难,美国,泰坦尼克号,https://movie.douban.com/subject/1292722/,1998-04-03,1369814,9.4,莱昂纳多·迪卡普里奥、凯特·温丝莱特、比利·赞恩、凯西·贝茨、弗兰西丝·费舍、格劳瑞亚·斯图尔特、比尔·帕克斯顿、伯纳德·希尔、大卫·沃纳、维克多·加博、乔纳森·海德、苏茜·爱米斯、刘易斯·阿伯内西、尼古拉斯·卡斯柯恩、阿那托利·萨加洛维奇、丹尼·努齐、杰森·贝瑞、伊万·斯图尔特、艾恩·格拉法德、乔纳森·菲利普斯、马克·林赛·查普曼、理查德·格拉翰、保罗·布赖特威尔、艾瑞克·布里登、夏洛特·查顿、博纳德·福克斯、迈克尔·英塞恩、法妮·布雷特、马丁·贾维斯、罗莎琳·艾尔斯、罗切尔·罗斯、乔纳森·伊万斯-琼斯、西蒙·克雷恩、爱德华德·弗莱彻、斯科特·安德森、马丁·伊斯特、克雷格·凯利、格雷戈里·库克、利亚姆·图伊、詹姆斯·兰开斯特、艾尔莎·瑞雯、卢·帕尔特、泰瑞·佛瑞斯塔、凯文·德·拉·诺伊、詹姆斯·卡梅隆、竹内结子、詹姆斯·霍纳、姜广涛、罗恩·多纳基、佐佐木澄江、史蒂文·奎里 、詹妮特·戈德斯坦恩、林凡 、Linda Kerns、马丁·哈伯、马丁·莱恩、德里克·李、Paul Herbert、亚历山大·欧文斯、Julene Renee、曲敬国
13,剧情,美国 英国,忠犬八公的故事,https://movie.douban.com/subject/3011091/,2009-06-13,944700,9.4,理查·基尔、萨拉·罗默尔、琼·艾伦、罗比·萨布莱特、艾瑞克·阿瓦利、田川洋行、杰森·亚历山大、罗伯特·卡普荣、Ellen Becker-Gray、Ben Skinner、凯文·德科斯泰、Raymond Alongi、Michael Kelly、达文尼亚·麦克法登、贝茨·怀尔德、亚美利哥·普雷休蒂、Gail Bugeja、马丁·蒙塔纳、高岛彩
14,剧情,美国,十二怒汉,https://movie.douban.com/subject/1293182/,1957-04-13,301463,9.4,亨利·方达、马丁·鲍尔萨姆、约翰·菲德勒、李·科布、E.G.马绍尔、杰克·克卢格曼 、爱德华·宾斯、杰克·瓦尔登、约瑟夫·史威尼、埃德·贝格利、乔治·沃斯科维奇、罗伯特·韦伯
15,剧情 爱情 灾难,美国,泰坦尼克号 3D版,https://movie.douban.com/subject/5450891/,2012-04-10,188185,9.4,莱昂纳多·迪卡普里奥、凯特·温丝莱特、比利·赞恩、凯西·贝茨、弗兰西丝·费舍、格劳瑞亚·斯图尔特、比尔·帕克斯顿、伯纳德·希尔、大卫·沃纳、维克多·加博、乔纳森·海德、苏茜·爱米斯、刘易斯·阿伯内西、尼古拉斯·卡斯柯恩、阿那托利·萨加洛维奇、丹尼·努齐、杰森·贝瑞、伊万·斯图尔特、罗恩·多纳基、夏洛特·查顿、博纳德·福克斯、迈克尔·英塞恩、艾瑞克·布里登、詹妮特·戈德斯坦恩、Linda Kerns、Paul Herbert、德里克·李、克雷格·凯利、西蒙·克雷恩、马丁·贾维斯、季冠霖、詹姆斯·卡梅隆、马克·林赛·查普曼、爱德华德·弗莱彻、艾恩·格拉法德、罗切尔·罗斯、史蒂文·奎里 
16,剧情,中国大陆 中国香港,背靠背，脸对脸,https://movie.douban.com/subject/1307856/,1994-09-10,47686,9.4,牛振华、雷恪生、李强、句号、王劲松、戈治均、佘南南、张嘉译、刘国祥、徐学政、林海海、温谦、马载军、吴玮玲、韩炳杰、杨亚洲、王馥荔、张艺、王洪光
17,剧情 爱情 家庭,意大利,灿烂人生,https://movie.douban.com/subject/1291831/,2003-06-22,39620,9.4,路易吉·洛·卡肖、阿莱西奥·博尼、索尼娅·贝加马斯科、玛雅·珊萨、法布里齐奥·吉福尼、杰丝敏·特丽卡、里卡多·斯卡马乔、安德烈提多娜、瓦伦蒂娜·卡妮卢提、卡米拉·菲利皮、莉迪亚·维塔莱、Claudio Gioè、斯特凡诺·阿伯蒂、安东内洛·普利西、阿德里娅娜·阿斯蒂、Giuseppe Gandini
18,剧情,中国大陆,遥望南方的童年,https://movie.douban.com/subject/3037329/,2007,11480,9.4,
19,剧情 爱情 音乐,法国,巴黎圣母院,https://movie.douban.com/subject/20326557/,1999,7863,9.4,海伦娜·赛加拉、加劳、丹尼尔·拉沃伊、布鲁诺·佩尔蒂埃、帕特里克·费欧里、拉克·默维尔、朱丽叶·泽纳缇
20,剧情 爱情 歌舞,法国,罗密欧与朱丽叶,https://movie.douban.com/subject/25928148/,2002-02-06,3829,9.4,达米安·萨格、希西莉亚·卡拉、葛里高利·巴奎特、Tom Ross
